scholarship_id,scholarship_name,provider,category,education_level,min_marks_required,income_limit,scholarship_amount,state,deadline,application_mode
1,LIC Scholars Program 1,LIC India,Category-Based,Undergraduate,90,200000,50000,Gujarat,2026-11-05,Online
2,LIC Scholars Program 2,LIC India,Category-Based,Postgraduate,89,300000,25000,Delhi,2026-12-23,Online
3,Ministry Scholars Program 3,Ministry of Education,Merit + Need,PhD,70,200000,150000,Karnataka,2026-12-16,Online/Offline
4,Tata Scholars Program 4,Tata Capital,Merit,School,82,250000,75000,Maharashtra,2026-05-05,Online
5,ONGC Scholars Program 5,ONGC Foundation,Need-Based,School,52,200000,50000,Karnataka,2026-06-25,Online
6,Tata Scholars Program 6,Tata Capital,Need-Based,Undergraduate,65,200000,150000,Delhi,2026-06-01,Online
7,Aditya Scholars Program 7,Aditya Birla Group,Merit + Need,Undergraduate,88,200000,150000,Rajasthan,2026-09-19,Online/Offline
8,Bharti Scholars Program 8,Bharti Foundation,Merit,School,79,300000,150000,Delhi,2026-11-23,Online/Offline
9,Ministry Scholars Program 9,Ministry of Education,Merit,Postgraduate,89,250000,10000,Madhya Pradesh,2026-12-04,Online/Offline
10,HDFC Scholars Program 10,HDFC Bank,Merit + Need,School,85,800000,100000,Uttar Pradesh,2026-06-23,Online/Offline
11,Tata Scholars Program 11,Tata Capital,Merit,PhD,86,500000,50000,Maharashtra,2026-10-31,Online/Offline
12,Ministry Scholars Program 12,Ministry of Education,Category-Based,Undergraduate,54,200000,10000,Tamil Nadu,2026-05-19,Online/Offline
13,Bharti Scholars Program 13,Bharti Foundation,Need-Based,School,89,250000,150000,Delhi,2026-05-16,Online
14,HDFC Scholars Program 14,HDFC Bank,Need-Based,Undergraduate,90,500000,150000,Maharashtra,2026-10-28,Online/Offline
15,LIC Scholars Program 15,LIC India,Need-Based,School,70,300000,100000,Gujarat,2026-07-20,Online
16,ONGC Scholars Program 16,ONGC Foundation,Merit + Need,PhD,68,300000,100000,Madhya Pradesh,2026-05-14,Online
17,ONGC Scholars Program 17,ONGC Foundation,Category-Based,PhD,83,200000,50000,Uttar Pradesh,2026-09-10,Online
18,Ministry Scholars Program 18,Ministry of Education,Category-Based,PhD,74,250000,75000,Rajasthan,2026-11-08,Online/Offline
19,HDFC Scholars Program 19,HDFC Bank,Merit + Need,Postgraduate,89,500000,150000,Gujarat,2026-11-20,Online/Offline
20,ONGC Scholars Program 20,ONGC Foundation,Merit + Need,Postgraduate,59,500000,200000,Rajasthan,2026-07-01,Online/Offline
21,LIC Scholars Program 21,LIC India,Merit,Postgraduate,50,800000,150000,Tamil Nadu,2026-05-02,Online/Offline
22,Ministry Scholars Program 22,Ministry of Education,Category-Based,School,83,300000,10000,Karnataka,2026-12-02,Online
23,LIC Scholars Program 23,LIC India,Category-Based,Undergraduate,60,500000,75000,Delhi,2026-07-25,Online/Offline
24,HDFC Scholars Program 24,HDFC Bank,Merit + Need,School,78,200000,10000,Tamil Nadu,2026-11-12,Online
25,Ministry Scholars Program 25,Ministry of Education,Merit,School,69,800000,25000,Tamil Nadu,2026-10-20,Online
26,Sitaram Scholars Program 26,Sitaram Jindal Foundation,Category-Based,PhD,79,300000,200000,Karnataka,2026-08-29,Online/Offline
27,ONGC Scholars Program 27,ONGC Foundation,Merit + Need,PhD,70,300000,25000,Karnataka,2026-11-21,Online
28,Aditya Scholars Program 28,Aditya Birla Group,Merit,PhD,53,300000,50000,Gujarat,2026-08-22,Online
29,Ministry Scholars Program 29,Ministry of Education,Merit + Need,Postgraduate,65,300000,50000,Rajasthan,2026-05-19,Online
30,LIC Scholars Program 30,LIC India,Need-Based,Undergraduate,88,500000,10000,Uttar Pradesh,2026-10-11,Online
31,LIC Scholars Program 31,LIC India,Merit + Need,Undergraduate,50,300000,10000,Tamil Nadu,2026-11-04,Online
32,Reliance Scholars Program 32,Reliance Foundation,Need-Based,Undergraduate,78,200000,25000,Tamil Nadu,2026-10-14,Online
33,LIC Scholars Program 33,LIC India,Merit,School,79,500000,200000,Rajasthan,2026-07-12,Online
34,HDFC Scholars Program 34,HDFC Bank,Need-Based,PhD,84,300000,50000,Maharashtra,2026-07-12,Online/Offline
35,Ministry Scholars Program 35,Ministry of Education,Merit + Need,Undergraduate,69,250000,150000,Gujarat,2026-10-20,Online/Offline
36,Bharti Scholars Program 36,Bharti Foundation,Merit + Need,Undergraduate,88,300000,25000,Delhi,2026-09-19,Online/Offline
37,Sitaram Scholars Program 37,Sitaram Jindal Foundation,Category-Based,PhD,63,250000,25000,Delhi,2026-06-06,Online/Offline
38,Tata Scholars Program 38,Tata Capital,Merit + Need,Undergraduate,69,800000,200000,Gujarat,2026-06-10,Online
39,Reliance Scholars Program 39,Reliance Foundation,Merit,Postgraduate,88,500000,50000,Maharashtra,2026-11-28,Online
40,Aditya Scholars Program 40,Aditya Birla Group,Merit,School,85,250000,200000,Gujarat,2026-10-11,Online
41,ONGC Scholars Program 41,ONGC Foundation,Merit + Need,PhD,88,300000,50000,Gujarat,2026-07-11,Online/Offline
42,ONGC Scholars Program 42,ONGC Foundation,Category-Based,Postgraduate,70,300000,10000,Rajasthan,2026-09-29,Online
43,LIC Scholars Program 43,LIC India,Category-Based,PhD,61,500000,25000,Maharashtra,2026-05-15,Online
44,HDFC Scholars Program 44,HDFC Bank,Merit,School,83,800000,200000,Maharashtra,2026-08-21,Online
45,Sitaram Scholars Program 45,Sitaram Jindal Foundation,Merit + Need,Postgraduate,60,250000,25000,Tamil Nadu,2026-09-10,Online
46,Aditya Scholars Program 46,Aditya Birla Group,Merit,Postgraduate,52,300000,200000,Maharashtra,2026-09-14,Online/Offline
47,LIC Scholars Program 47,LIC India,Merit,Undergraduate,79,200000,200000,Delhi,2026-05-15,Online
48,LIC Scholars Program 48,LIC India,Merit,Undergraduate,63,800000,200000,Madhya Pradesh,2026-10-13,Online
49,Aditya Scholars Program 49,Aditya Birla Group,Category-Based,Postgraduate,68,500000,25000,Maharashtra,2026-09-06,Online
50,Bharti Scholars Program 50,Bharti Foundation,Need-Based,Undergraduate,80,800000,50000,Delhi,2026-06-29,Online
51,ONGC Scholars Program 51,ONGC Foundation,Category-Based,PhD,64,800000,50000,Madhya Pradesh,2026-10-15,Online
52,Infosys Scholars Program 52,Infosys Foundation,Need-Based,Undergraduate,83,500000,150000,Maharashtra,2026-07-23,Online/Offline
53,Infosys Scholars Program 53,Infosys Foundation,Need-Based,Undergraduate,65,250000,50000,Uttar Pradesh,2026-11-15,Online
